rename_group	current_source_id	current_source_path	current_top_level_fqcn	current_report_fqcn	current_execution_key	target_source_id	target_source_path	target_top_level_fqcn	target_report_fqcn	target_execution_key	runner	lane	variant_key	db_kind	infra_kind	execution_step	required	owner	optional_reason	review_at	rationale	reviewer
v934-rename-v934-src|112:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/ComposeScriptToolIntegrationTest.java	v934-src|112:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/ComposeScriptToolIntegrationTest.java	foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/ComposeScriptToolIntegrationTest.java	com.foggyframework.dataset.mcp.integration.ComposeScriptToolIntegrationTest	com.foggyframework.dataset.mcp.integration.ComposeScriptToolIntegrationTest	v934|8:failsafe|14:external-mysql|15:mysql57-compose|75:com.foggyframework.dataset.mcp.integration.ComposeScriptToolIntegrationTest	v934-src|99:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/ComposeScriptToolIT.java	foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/integration/ComposeScriptToolIT.java	com.foggyframework.dataset.mcp.integration.ComposeScriptToolIT	com.foggyframework.dataset.mcp.integration.ComposeScriptToolIT	v934|8:failsafe|14:external-mysql|15:mysql57-compose|62:com.foggyframework.dataset.mcp.integration.ComposeScriptToolIT	failsafe	external-mysql	mysql57-compose	mysql57	database	3	true	foggy-dataset-mcp	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
v934-rename-v934-src|117:addons/foggy-dataset-model-vector/src/test/java/com/foggyframework/dataset/db/model/vector/VectorIntegrationTest.java	v934-src|117:addons/foggy-dataset-model-vector/src/test/java/com/foggyframework/dataset/db/model/vector/VectorIntegrationTest.java	addons/foggy-dataset-model-vector/src/test/java/com/foggyframework/dataset/db/model/vector/VectorIntegrationTest.java	com.foggyframework.dataset.db.model.vector.VectorIntegrationTest	com.foggyframework.dataset.db.model.vector.VectorIntegrationTest	v934|8:failsafe|15:external-vector|18:milvus24-embedding|64:com.foggyframework.dataset.db.model.vector.VectorIntegrationTest	v934-src|104:addons/foggy-dataset-model-vector/src/test/java/com/foggyframework/dataset/db/model/vector/VectorIT.java	addons/foggy-dataset-model-vector/src/test/java/com/foggyframework/dataset/db/model/vector/VectorIT.java	com.foggyframework.dataset.db.model.vector.VectorIT	com.foggyframework.dataset.db.model.vector.VectorIT	v934|8:failsafe|15:external-vector|18:milvus24-embedding|51:com.foggyframework.dataset.db.model.vector.VectorIT	failsafe	external-vector	milvus24-embedding	none	vector	3	true	addons/foggy-dataset-model-vector	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
v934-rename-v934-src|119:addons/foggy-dataset-vector/src/test/java/com/foggyframework/dataset/vector/integration/VectorStoreIntegrationTest.java	v934-src|119:addons/foggy-dataset-vector/src/test/java/com/foggyframework/dataset/vector/integration/VectorStoreIntegrationTest.java	addons/foggy-dataset-vector/src/test/java/com/foggyframework/dataset/vector/integration/VectorStoreIntegrationTest.java	com.foggyframework.dataset.vector.integration.VectorStoreIntegrationTest	com.foggyframework.dataset.vector.integration.VectorStoreIntegrationTest	v934|8:failsafe|15:external-vector|18:milvus24-embedding|72:com.foggyframework.dataset.vector.integration.VectorStoreIntegrationTest	v934-src|106:addons/foggy-dataset-vector/src/test/java/com/foggyframework/dataset/vector/integration/VectorStoreIT.java	addons/foggy-dataset-vector/src/test/java/com/foggyframework/dataset/vector/integration/VectorStoreIT.java	com.foggyframework.dataset.vector.integration.VectorStoreIT	com.foggyframework.dataset.vector.integration.VectorStoreIT	v934|8:failsafe|15:external-vector|18:milvus24-embedding|59:com.foggyframework.dataset.vector.integration.VectorStoreIT	failsafe	external-vector	milvus24-embedding	none	vector	3	true	addons/foggy-dataset-vector	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
v934-rename-v934-src|133:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/capability/ObjectFacadePauseIntegrationTest.java	v934-src|133:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/capability/ObjectFacadePauseIntegrationTest.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/capability/ObjectFacadePauseIntegrationTest.java	com.foggyframework.dataset.db.model.engine.compose.capability.ObjectFacadePauseIntegrationTest	com.foggyframework.dataset.db.model.engine.compose.capability.ObjectFacadePauseIntegrationTest	v934|8:failsafe|20:hermetic-integration|8:hermetic|94:com.foggyframework.dataset.db.model.engine.compose.capability.ObjectFacadePauseIntegrationTest	v934-src|120:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/capability/ObjectFacadePauseIT.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/compose/capability/ObjectFacadePauseIT.java	com.foggyframework.dataset.db.model.engine.compose.capability.ObjectFacadePauseIT	com.foggyframework.dataset.db.model.engine.compose.capability.ObjectFacadePauseIT	v934|8:failsafe|20:hermetic-integration|8:hermetic|81:com.foggyframework.dataset.db.model.engine.compose.capability.ObjectFacadePauseIT	failsafe	hermetic-integration	hermetic	none	hermetic	2	true	foggy-dataset-model	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
v934-rename-v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|78:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934-src|104:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|65:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	failsafe	database-contract-matrix	db-mysql57	mysql57	database	3	true	foggy-dataset-model	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
v934-rename-v934-src|132:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIntegrationTest.java	v934-src|132:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIntegrationTest.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIntegrationTest	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIntegrationTest	v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|93:com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIntegrationTest	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIT.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|80:com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	failsafe	database-contract-matrix	db-mysql57	mysql57	database	3	true	foggy-dataset-model	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
v934-rename-v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|78:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934-src|104:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|65:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	failsafe	database-contract-matrix	db-postgres15	postgres15	database	3	true	foggy-dataset-model	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
v934-rename-v934-src|132:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIntegrationTest.java	v934-src|132:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIntegrationTest.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIntegrationTest	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIntegrationTest	v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|93:com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIntegrationTest	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIT.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotCascadeGenerateSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|80:com.foggyframework.dataset.db.model.engine.pivot.PivotCascadeGenerateSqlParityIT	failsafe	database-contract-matrix	db-postgres15	postgres15	database	3	true	foggy-dataset-model	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
v934-rename-v934-src|108:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotIntegrationTest.java	v934-src|108:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotIntegrationTest.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotIntegrationTest	com.foggyframework.dataset.db.model.engine.pivot.PivotIntegrationTest	v934|8:failsafe|24:database-contract-matrix|15:mysql8-targeted|69:com.foggyframework.dataset.db.model.engine.pivot.PivotIntegrationTest	v934-src|95:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotIT.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotIT	com.foggyframework.dataset.db.model.engine.pivot.PivotIT	v934|8:failsafe|24:database-contract-matrix|15:mysql8-targeted|56:com.foggyframework.dataset.db.model.engine.pivot.PivotIT	failsafe	database-contract-matrix	mysql8-targeted	mysql8	database	3	true	foggy-dataset-model	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
v934-rename-v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934|8:failsafe|24:database-contract-matrix|16:db-sqlserver2022|78:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934-src|104:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIT.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	v934|8:failsafe|24:database-contract-matrix|16:db-sqlserver2022|65:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIT	failsafe	database-contract-matrix	db-sqlserver2022	sqlserver2022	database	3	true	foggy-dataset-model	none	none	reviewed real integration owner; rename ambiguous IntegrationTest suffix to IT without semantic ownership changes	v934-step1-independent-review
