name	original_id	current_id	id_match	stopped_by_wrapper	status	health
foggy-demo-mysql	0c50bf7e8684950ee1f9c3c257d3b2a8ba1ace8fbc85f2aa57fd35ff0fe5c166	0c50bf7e8684950ee1f9c3c257d3b2a8ba1ace8fbc85f2aa57fd35ff0fe5c166	yes	1	running	healthy
foggy-demo-mysql8	f603e63eaf82f0c2243bef89d68cfe4ff59b60caf93dc4dbf44ea6f183c7816a	f603e63eaf82f0c2243bef89d68cfe4ff59b60caf93dc4dbf44ea6f183c7816a	yes	1	running	healthy
foggy-demo-postgres	a4d6a278b0b99ff6a427b1870f24e7ebef4958341af327053eae76d4eb681d07	a4d6a278b0b99ff6a427b1870f24e7ebef4958341af327053eae76d4eb681d07	yes	1	running	healthy
foggy-demo-sqlserver	7881fa53039f1251ddd7ae8c43fd3cff549174a2cbaf07b4247c57495b8bf1fd	7881fa53039f1251ddd7ae8c43fd3cff549174a2cbaf07b4247c57495b8bf1fd	yes	1	running	healthy
