execution_key	source_id	report_fqcn	runner	lane	variant_key	db_kind	infra_kind	execution_step	required	owner	optional_reason	review_at
v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataset.db.model.engine.pivot.PivotOuterCacheOperationalSpiTest	v934-src|121:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotOuterCacheOperationalSpiTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotOuterCacheOperationalSpiTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|80:com.foggyframework.dataset.db.model.engine.pivot.PivotOuterCacheSafeProviderTest	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotOuterCacheSafeProviderTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotOuterCacheSafeProviderTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|82:com.foggyframework.dataset.db.model.engine.pivot.PivotOuterCacheStrongIdentityTest	v934-src|121:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotOuterCacheStrongIdentityTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotOuterCacheStrongIdentityTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|77:com.foggyframework.dataset.db.model.engine.pivot.PivotOuterCacheTelemetryTest	v934-src|116:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotOuterCacheTelemetryTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotOuterCacheTelemetryTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|76:com.foggyframework.dataset.db.model.engine.pivot.PivotOuterResponseCacheTest	v934-src|115:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotOuterResponseCacheTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotOuterResponseCacheTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|81:com.foggyframework.dataset.db.model.engine.pivot.PivotPipelineCatalogIdentityTest	v934-src|120:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotPipelineCatalogIdentityTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotPipelineCatalogIdentityTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:failsafe|24:database-contract-matrix|9:db-sqlite|78:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	failsafe	database-contract-matrix	db-sqlite	sqlite	database	3	true	foggy-dataset-model	none	none
v934|8:failsafe|24:database-contract-matrix|10:db-mysql57|78:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	failsafe	database-contract-matrix	db-mysql57	mysql57	database	3	true	foggy-dataset-model	none	none
v934|8:failsafe|24:database-contract-matrix|9:db-mysql8|78:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	failsafe	database-contract-matrix	db-mysql8	mysql8	database	3	true	foggy-dataset-model	none	none
v934|8:failsafe|24:database-contract-matrix|13:db-postgres15|78:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	failsafe	database-contract-matrix	db-postgres15	postgres15	database	3	true	foggy-dataset-model	none	none
v934|8:failsafe|24:database-contract-matrix|16:db-sqlserver2022|78:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlParityIntegrationTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlParityIntegrationTest	failsafe	database-contract-matrix	db-sqlserver2022	sqlserver2022	database	3	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|80:com.foggyframework.dataset.db.model.engine.pivot.PivotSqlPerformanceBaselineTest	v934-src|119:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/PivotSqlPerformanceBaselineTest.java	com.foggyframework.dataset.db.model.engine.pivot.PivotSqlPerformanceBaselineTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|74:com.foggyframework.dataset.db.model.engine.pivot.algo.AxisHavingFilterTest	v934-src|113:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/AxisHavingFilterTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.AxisHavingFilterTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|75:com.foggyframework.dataset.db.model.engine.pivot.algo.AxisTopNTruncatorTest	v934-src|114:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/AxisTopNTruncatorTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.AxisTopNTruncatorTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|81:com.foggyframework.dataset.db.model.engine.pivot.algo.BaselineRatioCalculatorTest	v934-src|120:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/BaselineRatioCalculatorTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.BaselineRatioCalculatorTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|73:com.foggyframework.dataset.db.model.engine.pivot.algo.CrossJoinFillerTest	v934-src|112:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/CrossJoinFillerTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.CrossJoinFillerTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|78:com.foggyframework.dataset.db.model.engine.pivot.algo.HierarchyTreeBuilderTest	v934-src|117:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/HierarchyTreeBuilderTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.HierarchyTreeBuilderTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|79:com.foggyframework.dataset.db.model.engine.pivot.algo.ParentShareCalculatorTest	v934-src|118:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/ParentShareCalculatorTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.ParentShareCalculatorTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|95:com.foggyframework.dataset.db.model.engine.pivot.algo.ParentShareCalculatorTest$ResolutionTests	v934-src|118:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/ParentShareCalculatorTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.ParentShareCalculatorTest$ResolutionTests	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|95:com.foggyframework.dataset.db.model.engine.pivot.algo.ParentShareCalculatorTest$ValidationTests	v934-src|118:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/ParentShareCalculatorTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.ParentShareCalculatorTest$ValidationTests	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|74:com.foggyframework.dataset.db.model.engine.pivot.algo.PropertyAttacherTest	v934-src|113:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/PropertyAttacherTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.PropertyAttacherTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|74:com.foggyframework.dataset.db.model.engine.pivot.algo.PropertyResolverTest	v934-src|113:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/PropertyResolverTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.PropertyResolverTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|70:com.foggyframework.dataset.db.model.engine.pivot.algo.ResultShaperTest	v934-src|109:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/ResultShaperTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.ResultShaperTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|74:com.foggyframework.dataset.db.model.engine.pivot.algo.SubtotalInjectorTest	v934-src|113:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/algo/SubtotalInjectorTest.java	com.foggyframework.dataset.db.model.engine.pivot.algo.SubtotalInjectorTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
v934|8:surefire|4:unit|4:unit|84:com.foggyframework.dataset.db.model.engine.pivot.rollup.MetricAdditivityAnalyzerTest	v934-src|123:foggy-dataset-model/src/test/java/com/foggyframework/dataset/db/model/engine/pivot/rollup/MetricAdditivityAnalyzerTest.java	com.foggyframework.dataset.db.model.engine.pivot.rollup.MetricAdditivityAnalyzerTest	surefire	unit	unit	none	hermetic	2	true	foggy-dataset-model	none	none
