module	source_id	source_fqcn	report_fqcn	discovered_test_nodes	runtime_deferred_containers	engine_ids	source_sha256	test_classes_sha256	main_classes_sha256
foggy-dataset-mcp	v934-src|116:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/QueryExpertServiceRoutingCalibrationTest.java	com.foggyframework.dataset.mcp.service.QueryExpertServiceRoutingCalibrationTest	com.foggyframework.dataset.mcp.service.QueryExpertServiceRoutingCalibrationTest	63	0	junit-jupiter	2657d21b0b34a8b7aaa65e7b7268cdcbc437389418ffbc9f9282ac72cc00c1c0	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|96:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/ToolConfigLoaderTest.java	com.foggyframework.dataset.mcp.service.ToolConfigLoaderTest	com.foggyframework.dataset.mcp.service.ToolConfigLoaderTest	12	0	junit-jupiter	5faa41c0b4727d291f8c195cc52b0c2eea4f94bfc0e7845d8ca4a8b75f2a8022	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/ToolFilterServiceTest.java	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest	0	0	junit-jupiter	af956698a34f4216f2adcfb68eb53b7ccd8469dda027da5b7d17ecc0b40fcc7d	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/ToolFilterServiceTest.java	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest$CanAccessToolTest	8	0	junit-jupiter	af956698a34f4216f2adcfb68eb53b7ccd8469dda027da5b7d17ecc0b40fcc7d	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/ToolFilterServiceTest.java	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest$EdgeCaseTest	2	0	junit-jupiter	af956698a34f4216f2adcfb68eb53b7ccd8469dda027da5b7d17ecc0b40fcc7d	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/ToolFilterServiceTest.java	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest$FilterToolDefinitionsByRoleTest	2	0	junit-jupiter	af956698a34f4216f2adcfb68eb53b7ccd8469dda027da5b7d17ecc0b40fcc7d	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/ToolFilterServiceTest.java	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest$FilterToolsByRoleTest	6	0	junit-jupiter	af956698a34f4216f2adcfb68eb53b7ccd8469dda027da5b7d17ecc0b40fcc7d	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/ToolFilterServiceTest.java	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest	com.foggyframework.dataset.mcp.service.ToolFilterServiceTest$GetAllowedCategoriesTest	3	0	junit-jupiter	af956698a34f4216f2adcfb68eb53b7ccd8469dda027da5b7d17ecc0b40fcc7d	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|110:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/routing/ClarifyTemplateCatalogTest.java	com.foggyframework.dataset.mcp.service.routing.ClarifyTemplateCatalogTest	com.foggyframework.dataset.mcp.service.routing.ClarifyTemplateCatalogTest	3	0	junit-jupiter	c1e6ba8b60a78b4910c9c11515eb59ec8d884f201e9bc2da3a372e711dfdd8a3	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|120:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/service/routing/RoutingCalibrationActionResolverTest.java	com.foggyframework.dataset.mcp.service.routing.RoutingCalibrationActionResolverTest	com.foggyframework.dataset.mcp.service.routing.RoutingCalibrationActionResolverTest	8	0	junit-jupiter	04de2cb82a80a928d255b3603dc13c8f3b018b5b0016440585e069efcf53aee9	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|109:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/spi/impl/CatalogAuthoritySpringWiringTest.java	com.foggyframework.dataset.mcp.spi.impl.CatalogAuthoritySpringWiringTest	com.foggyframework.dataset.mcp.spi.impl.CatalogAuthoritySpringWiringTest	1	0	junit-jupiter	0a9b44facdcc02f631386b9af13f465af29c4b7b76592c830819100e4566ece3	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|106:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/spi/impl/CatalogNamespaceAuthorityTest.java	com.foggyframework.dataset.mcp.spi.impl.CatalogNamespaceAuthorityTest	com.foggyframework.dataset.mcp.spi.impl.CatalogNamespaceAuthorityTest	5	0	junit-jupiter	7756b193c21ece7c06cd5784e8fb6a8b1a39196e66913866735948f714de8e63	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|111:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/spi/impl/LocalDatasetAccessorGovernanceTest.java	com.foggyframework.dataset.mcp.spi.impl.LocalDatasetAccessorGovernanceTest	com.foggyframework.dataset.mcp.spi.impl.LocalDatasetAccessorGovernanceTest	12	0	junit-jupiter	28b5cfda71cba98ba4292f7f080879f5d828e1f5b2a094ae4c2c624c5c699a47	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|108:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/spi/impl/SemanticServiceResolverImplTest.java	com.foggyframework.dataset.mcp.spi.impl.SemanticServiceResolverImplTest	com.foggyframework.dataset.mcp.spi.impl.SemanticServiceResolverImplTest	11	0	junit-jupiter	61a2951855fa10e7a229134470bdb811c0c62580a23df0fbf04f7da7ad2ef66c	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|87:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ChartToolTest.java	com.foggyframework.dataset.mcp.tools.ChartToolTest	com.foggyframework.dataset.mcp.tools.ChartToolTest	0	0	junit-jupiter	3af4f7927b22da5a4c4e0ab62b7805b38c91e6be8ec4531228da14f8bcbf82d3	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|87:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ChartToolTest.java	com.foggyframework.dataset.mcp.tools.ChartToolTest	com.foggyframework.dataset.mcp.tools.ChartToolTest$BasicPropertiesTest	3	0	junit-jupiter	3af4f7927b22da5a4c4e0ab62b7805b38c91e6be8ec4531228da14f8bcbf82d3	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|87:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ChartToolTest.java	com.foggyframework.dataset.mcp.tools.ChartToolTest	com.foggyframework.dataset.mcp.tools.ChartToolTest$ExecuteErrorTest	2	0	junit-jupiter	3af4f7927b22da5a4c4e0ab62b7805b38c91e6be8ec4531228da14f8bcbf82d3	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|87:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ChartToolTest.java	com.foggyframework.dataset.mcp.tools.ChartToolTest	com.foggyframework.dataset.mcp.tools.ChartToolTest$ExecuteSuccessTest	6	0	junit-jupiter	3af4f7927b22da5a4c4e0ab62b7805b38c91e6be8ec4531228da14f8bcbf82d3	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|87:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ChartToolTest.java	com.foggyframework.dataset.mcp.tools.ChartToolTest	com.foggyframework.dataset.mcp.tools.ChartToolTest$ExecuteWithProgressTest	2	0	junit-jupiter	3af4f7927b22da5a4c4e0ab62b7805b38c91e6be8ec4531228da14f8bcbf82d3	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|87:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ChartToolTest.java	com.foggyframework.dataset.mcp.tools.ChartToolTest	com.foggyframework.dataset.mcp.tools.ChartToolTest$ParameterValidationTest	2	0	junit-jupiter	3af4f7927b22da5a4c4e0ab62b7805b38c91e6be8ec4531228da14f8bcbf82d3	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|102:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ComposeScriptToolBindingTest.java	com.foggyframework.dataset.mcp.tools.ComposeScriptToolBindingTest	com.foggyframework.dataset.mcp.tools.ComposeScriptToolBindingTest	5	0	junit-jupiter	8f61f71c4633b3307ba5956e59e7806ca4d4b64240e4791ba5c9fa3c29b997fe	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|95:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ComposeScriptToolTest.java	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest	0	0	junit-jupiter	9225e4a59e12f475ec33f8dd14cf03937832bf087a95abdc801c82dc900c96ca	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|95:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ComposeScriptToolTest.java	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest$BasicPropertiesTest	4	0	junit-jupiter	9225e4a59e12f475ec33f8dd14cf03937832bf087a95abdc801c82dc900c96ca	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|95:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ComposeScriptToolTest.java	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest$ErrorPhaseMappingTest	3	0	junit-jupiter	9225e4a59e12f475ec33f8dd14cf03937832bf087a95abdc801c82dc900c96ca	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|95:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ComposeScriptToolTest.java	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest$InputValidationTest	3	0	junit-jupiter	9225e4a59e12f475ec33f8dd14cf03937832bf087a95abdc801c82dc900c96ca	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|95:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ComposeScriptToolTest.java	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest	com.foggyframework.dataset.mcp.tools.ComposeScriptToolTest$ResolverFactoryTest	1	0	junit-jupiter	9225e4a59e12f475ec33f8dd14cf03937832bf087a95abdc801c82dc900c96ca	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|98:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/DescriptionModelToolTest.java	com.foggyframework.dataset.mcp.tools.DescriptionModelToolTest	com.foggyframework.dataset.mcp.tools.DescriptionModelToolTest	6	0	junit-jupiter	b32efa0fa63ac5fe4c94e8d77af1fcc3c74687c86f770c12a34d2500b47b32a9	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ExportWithChartToolTest.java	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest	0	0	junit-jupiter	87ee86f88aae0c64a3274cd3914c110dc22e3f97591f5a5dff85eb2719ec2398	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ExportWithChartToolTest.java	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest$BasicPropertiesTest	3	0	junit-jupiter	87ee86f88aae0c64a3274cd3914c110dc22e3f97591f5a5dff85eb2719ec2398	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ExportWithChartToolTest.java	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest$DataExtractionTest	1	0	junit-jupiter	87ee86f88aae0c64a3274cd3914c110dc22e3f97591f5a5dff85eb2719ec2398	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ExportWithChartToolTest.java	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest$ExecuteErrorTest	4	0	junit-jupiter	87ee86f88aae0c64a3274cd3914c110dc22e3f97591f5a5dff85eb2719ec2398	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
foggy-dataset-mcp	v934-src|97:foggy-dataset-mcp/src/test/java/com/foggyframework/dataset/mcp/tools/ExportWithChartToolTest.java	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest	com.foggyframework.dataset.mcp.tools.ExportWithChartToolTest$ExecuteSuccessTest	6	0	junit-jupiter	87ee86f88aae0c64a3274cd3914c110dc22e3f97591f5a5dff85eb2719ec2398	041d3c4cf7d3e0e9599b3001fdfe920beb1b3e6ea005ed3ce387048a14596c45	aa923ebb5f4dd09cf52c5da8a3a1d9a1883fa9dcba9ca544febee4f80f25a3e8
